Restaurant,Location,Cuisines,Cuisines0,Cuisines1,Cuisines2,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
ID_6321,"FTI College, Law College Road, Pune","Fast Food, Rolls, Burger, Salad, Wraps",Fast,Food,Rolls,200,50,3.5,12,4,30
ID_2882,"Sector 3, Marathalli","Ice Cream, Desserts",Ice,Cream,Desserts,100,50,3.5,11,4,30
ID_1595,Mumbai Central,"Italian, Street Food, Fast Food",Italian,Street,Food,150,50,3.6,99,30,65
ID_5929,"Sector 1, Noida","Mughlai, North Indian, Chinese",Mughlai,North,Indian,250,99,3.7,176,95,30
ID_6123,"Rmz Centennial, I Gate, Whitefield","Cafe, Beverages",Cafe,Beverages,,200,99,3.2,521,235,65
ID_5221,"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese",South,Indian,North,150,50,3.8,46,18,30
ID_3777,Mumbai Central,"Beverages, Fast Food",Beverages,Fast,Food,150,50,3.7,108,31,30
ID_745,Delhi University-GTB Nagar,"Chinese, Thai, Asian",Chinese,Thai,Asian,650,50,4,1731,1235,45
ID_2970,Delhi University-GTB Nagar,"Mithai, Street Food",Mithai,Street,Food,100,50,3.9,110,26,30
ID_3474,"Sector 1, Noida","Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",Fast,Food,North,200,50,3.9,562,294,65
ID_5159,Mumbai Central,"North Indian, Chinese, Mughlai",North,Indian,Chinese,350,50,3.8,186,61,30
ID_1696,"Yerawada, Pune, Maharashtra","Chinese, Thai, Indonesian, Italian",Chinese,Thai,Indonesian,800,50,4.2,1693,1239,45
ID_1156,"Sector 1, Noida","Burger, Fast Food, Desserts, Beverages",Burger,Fast,Food,150,50,,,,30
ID_354,Delhi University-GTB Nagar,Beverages,Beverages,,,50,0,3.8,184,128,45
ID_6891,"Delhi Administration Flats, Timarpur",Fast Food,Fast,Food,,100,50,3.5,23,5,30
ID_6406,"Moulali, Kolkata","Biryani, Mughlai",Biryani,Mughlai,,100,50,3.6,353,53,30
ID_2141,"Sector 1, Noida",Italian,Italian,,,100,50,,,,30
ID_3355,"Dockyard Road, Mumbai CST Area","Chinese, North Indian, South Indian, Fast Food",Chinese,North,Indian,200,50,3.7,139,47,30
ID_5262,Pune University,"Kerala, Bihari",Kerala,Bihari,,150,50,,,,30
ID_8148,"Gora Bazar, Rajbari, North Dumdum, Kolkata",South Indian,South,Indian,,100,50,3.7,159,46,30
ID_1681,"D-Block, Sector 63, Noida","Chinese, North Indian, Rolls, Momos",Chinese,North,Indian,200,99,2.8,67,23,45
ID_3994,"Sector 14, Noida","North Indian, Rolls",North,Indian,Rolls,150,50,3.9,387,160,45
ID_4012,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,250,50,3,5,2,30
ID_240,"D-Block, Sector 63, Noida","Biryani, North Indian",Biryani,North,Indian,200,99,3.7,138,26,65
ID_4751,"Sector 3, Marathalli","North Indian, Chinese, Fast Food",North,Indian,Chinese,150,50,3.2,4,1,30
ID_4944,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Ice Cream",Desserts,Ice,Cream,100,50,,,,45
ID_7029,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,100,99,3.7,110,38,45
ID_6769,Mumbai Central,"Fast Food, South Indian, Street Food",Fast,Food,South,150,50,3.2,15,9,45
ID_5547,"Dockyard Road, Mumbai CST Area",North Indian,North,Indian,,150,50,3.3,44,19,45
ID_1957,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.8,18,18,30
ID_425,"Gora Bazar, Rajbari, North Dumdum, Kolkata",North Indian,North,Indian,,150,50,3.2,18,7,30
ID_4965,"D-Block, Sector 63, Noida","Cafe, Mexican, Japanese, Italian, Chinese",Cafe,Mexican,Japanese,400,50,4,189,132,30
ID_5192,"FTI College, Law College Road, Pune","Bakery, Fast Food, Rolls, Beverages",Bakery,Fast,Food,200,50,3.1,279,74,45
ID_6079,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,350,99,3.3,22,13,45
ID_3069,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,North,Indian,,100,50,4,581,111,30
ID_1160,"Sector 1, Noida","Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",Asian,Burmese,Bubble,600,50,4.7,914,499,45
ID_4494,Pune University,Street Food,Street,Food,,100,50,3.4,23,7,30
ID_2139,"Moulali, Kolkata","Fast Food, South Indian",Fast,Food,South,100,50,3.6,105,53,30
ID_332,Delhi University-GTB Nagar,"Pizza, Fast Food",Pizza,Fast,Food,200,50,3.5,305,29,45
ID_1209,"Tiretti, Kolkata","Cafe, Desserts",Cafe,Desserts,,300,50,3.6,54,34,30
ID_5285,"Sandhurst Road, Mumbai CST Area","Mughlai, North Indian",Mughlai,North,Indian,200,50,4,1408,851,45
ID_7544,Mumbai Central,"Desserts, Beverages",Desserts,Beverages,,150,50,4.1,806,513,45
ID_7299,"MG Road, Pune","Bakery, Desserts, Beverages",Bakery,Desserts,Beverages,150,50,3.7,41,22,30
ID_4154,"Hyderabad Public School, Begumpet",South Indian,South,Indian,,100,50,3.7,100,27,45
ID_3869,"Tiretti, Kolkata",North Indian,North,Indian,,200,50,3.6,106,32,30
ID_6868,Majestic,"North Indian, Street Food",North,Indian,Street,200,50,3.8,37,25,30
ID_1641,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.4,45,37,30
ID_2809,"Mico Layout, Stage 2, BTM Layout,Bangalore",Chinese,Chinese,,,200,50,NEW,,,30
ID_5022,Delhi University-GTB Nagar,"Chinese, Fast Food",Chinese,Fast,Food,200,99,3.5,63,8,45
ID_4866,Delhi University-GTB Nagar,Lucknowi,Lucknowi,,,200,50,,,,30
ID_6857,"FTI College, Law College Road, Pune","South Indian, North Indian",South,Indian,North,150,50,3.1,253,35,30
ID_3429,"FTI College, Law College Road, Pune","Biryani, Chinese",Biryani,Chinese,,150,50,3.2,4,4,30
ID_1521,"Sandhurst Road, Mumbai CST Area","Tea, Fast Food",Tea,Fast,Food,100,50,3.3,12,6,30
ID_5090,"MG Road, Pune","Fast Food, Italian, Beverages",Fast,Food,Italian,200,50,3.9,327,173,45
ID_348,"Sector 1, Noida","North Indian, Beverages",North,Indian,Beverages,250,50,3.4,49,36,30
ID_1443,"Chandni Chowk, Kolkata",Fast Food,Fast,Food,,100,50,3.3,11,1,30
ID_8281,"MG Road, Pune","Street Food, Fast Food, North Indian",Street,Food,Fast,150,50,2.9,8,5,45
ID_4562,Delhi University-GTB Nagar,Chinese,Chinese,,,250,50,3.8,19,15,30
ID_156,"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, Chinese",Rolls,Chinese,,100,50,3.7,18,6,30
ID_5570,"Delhi Administration Flats, Timarpur","South Indian, Chinese, Street Food",South,Indian,Chinese,100,50,3.1,7,2,30
ID_8368,"MG Road, Pune","North Indian, Mangalorean",North,Indian,Mangalorean,350,50,3.5,16,8,45
ID_294,"Sector 1, Noida","Bakery, Desserts, Fast Food",Bakery,Desserts,Fast,100,50,NEW,,,30
ID_6967,"Yerawada, Pune, Maharashtra","Cafe, European, Continental, Sandwich, Salad, Healthy Food",Cafe,European,Continental,600,50,4.6,391,174,30
ID_2994,"Sector 3, Marathalli",Bengali,Bengali,,,200,50,3.5,32,23,30
ID_6369,"Sector 1, Noida","Bakery, Fast Food",Bakery,Fast,Food,200,50,3.3,39,11,30
ID_7768,"Sector 14, Noida",Fast Food,Fast,Food,,150,99,3.9,116,19,30
ID_134,"Dockyard Road, Mumbai CST Area",Desserts,Desserts,,,100,50,3.4,22,9,45
ID_8414,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages, American",Desserts,Beverages,American,200,50,3.9,51,29,45
ID_2216,"Delhi High Court, India Gate","Chinese, Thai",Chinese,Thai,,150,50,3.2,9,1,30
ID_2131,Mumbai Central,"Chinese, Fast Food, Mughlai",Chinese,Fast,Food,300,50,3.7,128,30,45
ID_8057,"Rmz Centennial, I Gate, Whitefield","Cafe, Continental, Fast Food",Cafe,Continental,Fast,300,50,4.1,119,59,30
ID_3309,"D-Block, Sector 63, Noida","Chinese, Rolls",Chinese,Rolls,,150,50,,,,30
ID_7722,"Sector 1, Noida","North Indian, Fast Food",North,Indian,Fast,200,50,3.4,26,16,30
ID_3117,"Moulali, Kolkata","Mishti, Fast Food, South Indian",Mishti,Fast,Food,100,50,4,381,89,65
ID_6905,Majestic,"South Indian, North Indian, Chinese, Beverages",South,Indian,North,350,50,4.2,441,170,30
ID_3087,"Chandni Chowk, Kolkata","Fast Food, Bengali",Fast,Food,Bengali,100,50,,,,30
ID_207,"Delhi Administration Flats, Timarpur","Mithai, Street Food",Mithai,Street,Food,100,50,3.7,62,10,30
ID_5095,"Rmz Centennial, I Gate, Whitefield","Beverages, Desserts",Beverages,Desserts,,100,50,3.6,7,4,30
ID_8233,Delhi University-GTB Nagar,Fast Food,Fast,Food,,100,50,3.6,90,31,30
ID_6205,"Sector 14, Noida",Rolls,Rolls,,,100,50,NEW,,,30
ID_7753,"Sandhurst Road, Mumbai CST Area","European, Continental, North Indian, Desserts",European,Continental,North,750,50,4.3,3124,1660,45
ID_888,"D-Block, Sector 63, Noida","Biryani, Mughlai, North Indian",Biryani,Mughlai,North,100,50,3.5,69,37,30
ID_164,"D-Block, Sector 63, Noida","North Indian, Mughlai",North,Indian,Mughlai,150,50,3.3,,,30
ID_2653,"Sector 14, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.9,385,71,30
ID_2818,"MG Road, Pune","North Indian, Chinese",North,Indian,Chinese,150,99,2.8,96,41,45
ID_7520,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,NEW,,,45
